,prefix,lr,bsz,dev_performance,test_performance
0,superglue-cb_16_100,0.5,8,0.75,0.7142857142857143
1,superglue-cb_16_100,0.4,8,0.625,0.6428571428571429
2,superglue-cb_16_100,0.3,8,0.6875,0.7142857142857143
3,superglue-cb_16_100,0.2,8,0.53125,0.5178571428571429
4,superglue-cb_16_100_best,0.5,8,0.75,0.7142857142857143
5,superglue-cb_16_13,0.5,8,0.5625,0.6071428571428571
6,superglue-cb_16_13,0.4,8,0.46875,0.4642857142857143
7,superglue-cb_16_13,0.3,8,0.53125,0.6428571428571429
8,superglue-cb_16_13,0.2,8,0.59375,0.625
9,superglue-cb_16_13_best,0.2,8,0.59375,0.625
10,superglue-cb_16_21,0.5,8,0.90625,0.6964285714285714
11,superglue-cb_16_21,0.4,8,0.65625,0.6071428571428571
12,superglue-cb_16_21,0.3,8,0.65625,0.5535714285714286
13,superglue-cb_16_21,0.2,8,0.65625,0.6071428571428571
14,superglue-cb_16_21_best,0.5,8,0.90625,0.6964285714285714
15,superglue-cb_16_42,0.5,8,0.6875,0.75
16,superglue-cb_16_42,0.4,8,0.59375,0.5535714285714286
17,superglue-cb_16_42,0.3,8,0.5625,0.6071428571428571
18,superglue-cb_16_42,0.2,8,0.65625,0.7142857142857143
19,superglue-cb_16_42_best,0.5,8,0.6875,0.75
20,superglue-cb_16_87,0.5,8,0.65625,0.5535714285714286
21,superglue-cb_16_87,0.4,8,0.75,0.5892857142857143
22,superglue-cb_16_87,0.3,8,0.625,0.39285714285714285
23,superglue-cb_16_87,0.2,8,0.5625,0.44642857142857145
24,superglue-cb_16_87_best,0.4,8,0.75,0.5892857142857143
