,prefix,lr,bsz,dev_performance,test_performance
0,superglue-cb_16_100,0.5,8,0.5,0.5178571428571429
1,superglue-cb_16_100,0.4,8,0.59375,0.48214285714285715
2,superglue-cb_16_100,0.3,8,0.59375,0.48214285714285715
3,superglue-cb_16_100,0.2,8,0.59375,0.5178571428571429
4,superglue-cb_16_100_best,0.4,8,0.59375,0.48214285714285715
5,superglue-cb_16_13,0.5,8,0.40625,0.35714285714285715
6,superglue-cb_16_13,0.4,8,0.6875,0.48214285714285715
7,superglue-cb_16_13,0.3,8,0.59375,0.6071428571428571
8,superglue-cb_16_13,0.2,8,0.6875,0.6428571428571429
9,superglue-cb_16_13_best,0.4,8,0.6875,0.48214285714285715
10,superglue-cb_16_21,0.5,8,0.78125,0.5178571428571429
11,superglue-cb_16_21,0.4,8,0.78125,0.5178571428571429
12,superglue-cb_16_21,0.3,8,0.8125,0.5
13,superglue-cb_16_21,0.2,8,0.75,0.5357142857142857
14,superglue-cb_16_21_best,0.3,8,0.8125,0.5
15,superglue-cb_16_42,0.5,8,0.59375,0.48214285714285715
16,superglue-cb_16_42,0.4,8,0.65625,0.5357142857142857
17,superglue-cb_16_42,0.3,8,0.59375,0.5357142857142857
18,superglue-cb_16_42,0.2,8,0.625,0.6071428571428571
19,superglue-cb_16_42_best,0.4,8,0.65625,0.5357142857142857
20,superglue-cb_16_87,0.5,8,0.78125,0.44642857142857145
21,superglue-cb_16_87,0.4,8,0.75,0.5
22,superglue-cb_16_87,0.3,8,0.71875,0.5357142857142857
23,superglue-cb_16_87,0.2,8,0.75,0.5535714285714286
24,superglue-cb_16_87_best,0.5,8,0.78125,0.44642857142857145
